SiteName,Laboratory ID,Age,SD,Material ,CalCurve,CorrectSiteDesignation,Context,Mulrooney_Class,Notes,Reference
Orongo ,K-506 ,220,100,Wood charcoal ,shcal20,Orongo,Ceremonial,2c,_,Mulrooney 2013
Orongo ,K-514 ,380,60,Wood charcoal ,shcal20,Orongo,Ceremonial,2c,_,Mulrooney 2013
Orongo ,T-194 ,470,70,Wood charcoal ,shcal20,Orongo,Ceremonial,2b,_,Mulrooney 2013
Orongo ,K-520 ,540,100,Wood charcoal ,shcal20,Orongo,Ceremonial,2a,_,Mulrooney 2013
Orongo ,M-708,100,200,Wood charcoal,shcal20,Orongo,Ceremonial,2c,Not in Lima et al.,Mulrooney 2013
Poike Ditch ,Beta-208937 ,440,60,Wood charcoal e identified ,shcal20,Poike Ditch ,Residential,1c,_,Mulrooney 2013
Poike Ditch ,Beta-208938 ,190,40,Wood charcoal e unidentified ,shcal20,Poike Ditch ,Residential,2c,_,Mulrooney 2013
Poike Ditch ,Beta-47281 ,760,80,Wood charcoal e unidentified ,shcal20,Poike Ditch ,Residential,2c,_,Mulrooney 2013
"Rock Garden 16, Hiva Hiva Lava Flow",Beta-238061 ,300,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
"Rock Garden 20, Hiva Hiva Lava Flow",Beta-238062 ,570,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
"Rock Garden 22, Hiva Hiva Lava Flow",Beta-237464 ,560,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
"Rock Garden 25, Hiva Hiva Lava Flow",Beta-238063 ,210,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
Site 1-187 ,WSU-1146 ,1180,230,Wood charcoal e Identified ,shcal20,Site 1-187,Residential,2b,_,Mulrooney 2013
Site 1-187 ,WSU-1147,350,220,Plant material,shcal20,Site 1-187,Residential,2b,Not in Lima et al.,Mulrooney 2013
Site 10-241,Beta-47365 ,380,60,Wood charcoal ,shcal20,Maunga Tari,Residential,2b,_,Mulrooney 2013
Site 10-241,Beta-47366 ,480,60,Wood charcoal ,shcal20,Maunga Tari,Residential,2b,_,Mulrooney 2013
Site 10-241,Beta-47367 ,390,50,Wood charcoal ,shcal20,Maunga Tari,Residential,2b,_,Mulrooney 2013
Site 14-1 ,UGa-631 ,395,60,Wood charcoal ,shcal20,Hanga Tu'u Hata Cave,Residential,2c,_,Mulrooney 2013
Site 15-233,Beta-254389 ,160,40,Wood charcoal e identified ,shcal20,Hiva Hiva,Agricultural,1c,_,Mulrooney 2013
Site 15-233,Beta-254390 ,280,40,Wood charcoal e identified ,shcal20,Hiva Hiva,Agricultural,1c,_,Mulrooney 2013
Site 15-233,Beta-237461 ,150,40,Wood charcoal e unidentified ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
Site 15-233,Beta-237462 ,670,40,Wood charcoal e unidentified ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
Site 15-68,Beta-237460 ,440,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
Site 15-68,Beta-237459 ,840,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
Site 15-90,Beta-237457 ,460,40,Wood charcoal ,shcal20,Hiva Hiva,Agricultural,2c,_,Mulrooney 2013
Site 18-228 ,Beta-47282 ,400,60,Wood charcoal e ,shcal20,Site 18-228 ,Residential,2b,Upland from Runga Va'e,Mulrooney 2013
Site 18-419 ,Beta-47283 ,330,60,Wood charcoal e unidentified ,shcal20,Site 18-419,Residential,2b,_,Mulrooney 2013
Site 18-473G,Beta-199322 ,220,40,Wood charcoal ,shcal20,Site 18-473,Residential,2b,_,Mulrooney 2013
Site 18-473G,Beta-199324 ,1110,40,Wood charcoal ,shcal20,Site 18-473,Agricultural,2b,_,Mulrooney 2013
Site 18-473G,Beta-199323 ,570,50,Twig and grass fragments ,shcal20,Site 18-473,Residential,2b,_,Mulrooney 2013
Site 20-52,Beta-144310 ,780,50,Wood charcoal ,shcal20,Site 20-52,Agricultural,2c,_,Mulrooney 2013
Site 20-52,Beta-144311 ,380,40,Wood charcoal ,shcal20,Site 20-52,Agricultural,2c,_,Mulrooney 2013
"Site 21-568a, Hare Aio ",Beta-47279 ,320,70,Wood charcoal ,shcal20,"Site 21-568a, Hare Aio ",Residential,2c,_,Mulrooney 2013
"Site 21-568a, Hare Aio ",Beta-46110 ,430,70,Wood charcoal ,shcal20,"Site 21-568a, Hare Aio ",Residential,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-22 ,325,40,Carbonized nutshell ,shcal20,Te Niu,Ceremonial,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-28 ,555,40,Carbonized nutshell ,shcal20,Te Niu,Ceremonial,1a,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-14 ,230,60,Wood charcoal ,shcal20,Te Niu,Ceremonial,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-95879 ,230,90,Wood charcoal ,shcal20,Te Niu,Ceremonial,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-8 ,375,45,Wood charcoal ,shcal20,Te Niu,Ceremonial,2b,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-13 ,535,50,Wood charcoal ,shcal20,Te Niu,Ceremonial,2a,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-24 ,535,40,Wood charcoal ,shcal20,Te Niu,Ceremonial,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-106319 ,570,50,Wood charcoal ,shcal20,Te Niu,Ceremonial,2a,_,Mulrooney 2013
"Site 26-6, Te Niu ",B-106320,90,60,Wood charcoal,shcal20,Te Niu,Residential,2c,Not in Lima et al.,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-25 ,650,40,Wood charcoal ,shcal20,Te Niu,Ceremonial,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",AZ-23 ,685,50,Wood charcoal ,shcal20,Te Niu,Ceremonial,2c,_,Mulrooney 2013
"Site 26-1, Ahu Te Niu (Ahu Ohau) ",B-95878 ,700,90,Wood charcoal ,shcal20,Te Niu,Ceremonial,2b,_,Mulrooney 2013
"Site 26-22, Te Niu ",AZ-2 ,605,40,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
"Site 26-22, Te Niu ",AZ-3 ,385,40,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
"Site 26-36, Te Niu ",AZ-4 ,210,60,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
"Site 26-50, Te Niu ",B-95880 ,550,110,Wood charcoal ,shcal20,Te Niu,Residential,2c,_,Mulrooney 2013
"Site 26-6, Te Niu ",AZ-9 ,230,45,Wood charcoal ,shcal20,Te Niu,Residential,2c,_,Mulrooney 2013
"Site 26-5, Te Niu",AZ-10,105,40,Wood charcoal,shcal20,Te Niu,Residential,2c,Not in Lima et al.,Mulrooney 2013
"Site 26-6, Te Niu ",AZ-7 ,680,45,Wood charcoal ,shcal20,Te Niu,Residential,2c,_,Mulrooney 2013
"Site 26-7b, Te Niu ",AZ-1 ,435,40,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
"Site 26-I0, Te Niu ",AZ-5 ,715,70,Wood charcoal ,shcal20,Te Niu,Agricultural,2c,_,Mulrooney 2013
